id,searchable_name,location_label,map_location,category,convention_id
18545,"Hall E : Ravensburger, Events",ICC : Hall E : Ravensburger,/map?c=27&f=1&lg=47.764248046875004&lt=-20.061958086979768&s=18545&z=5,Events,27
18546,"Hall E : Magic: the Gathering, Events",ICC : Hall E : Magic: the Gathering,/map?c=27&f=1&lg=51.50390625000001&lt=-22.512556954051437&s=18546&z=5,Events,27
18547,"Hall E : Games Workshop, Events",ICC : Hall E : Games Workshop,/map?c=27&f=1&lg=55.07200195312503&lt=-16.331020198749595&s=18547&z=5,Events,27
18548,"Hall E : Avalon Hill, Events",ICC : Hall E : Avalon Hill,/map?c=27&f=1&lg=55.63212890624999&lt=-22.49850985564489&s=18548&z=5,Events,27
18549,"Hall C : Warhammer, Events",ICC : Hall C : Warhammer,/map?c=27&f=1&lg=59.8946484375&lt=-11.894529372947&s=18549&z=6,Events,27
18550,"Hall C : Dice Throne, Events",ICC : Hall C : Dice Throne,/map?c=27&f=1&lg=59.89456054687501&lt=-14.801735962234439&s=18550&z=5,Events,27
18551,"Hall C : Meeple Source, Events",ICC : Hall C : Meeple Source,/map?c=27&f=1&lg=62.52802734375&lt=-12.260741039138537&s=18551&z=5,Events,27
18552,"Hall C : Green, Events",ICC : Hall C : Hall C: Green,/map?c=27&f=1&lg=63.89525390625&lt=-14.706629212499644&s=18552&z=5,Events,27
18553,"Hall C : White, Events",ICC : Hall C : Hall C: White,/map?c=27&f=1&lg=69.020771484375&lt=-14.658167463625787&s=18553&z=5,Events,27
18554,"Hall C : Kingdom Death, Events",ICC : Hall C : Kingdom Death,/map?c=27&f=1&lg=70.4415234375&lt=-11.551247049392348&s=18554&z=5,Events,27
18555,"Hall C : Spin Master, Events",ICC : Hall C : Spin Master,/map?c=27&f=1&lg=73.0782421875&lt=-11.529718601399342&s=18555&z=5,Events,27
18556,"Hall C : Teburu, Events",ICC : Hall C : Teburu,/map?c=27&f=1&lg=73.0782421875&lt=-12.989742202307454&s=18556&z=6,Events,27
18557,"Hall C : Mindware, Events",ICC : Hall C : Mindware,/map?c=27&f=1&lg=73.0782421875&lt=-13.71661000417167&s=18557&z=6,Events,27
18558,"Hall C : Albi, Events",ICC : Hall C : Albi,/map?c=27&f=1&lg=73.0782421875&lt=-14.44123406110086&s=18558&z=6,Events,27
18559,"Hall C : Steve Jackson, Events",ICC : Hall C : Steve Jackson,/map?c=27&f=1&lg=73.0782421875&lt=-15.481379537279663&s=18559&z=5,Events,27
18560,"Hall C : Hasbro Games, Events",ICC : Hall C : Hasbro,/map?c=27&f=1&lg=59.89456054687501&lt=-17.965858376131276&s=18560&z=5,Events,27
18561,"Hall C : Wizards of the Coast, Events",ICC : Hall C : Wizards of the Coast,/map?c=27&f=1&lg=59.8946484375&lt=-20.82874908545922&s=18561&z=5,Events,27
18562,"Hall C : Yellow, Events",ICC : Hall C : Hall C: Yellow,/map?c=27&f=1&lg=63.70119140624999&lt=-18.970963827501407&s=18562&z=5,Events,27
18563,"Hall C : Red, Events",ICC : Hall C : Hall C: Red,/map?c=27&f=1&lg=69.20173828125002&lt=-18.216828953260723&s=18563&z=5,Events,27
18564,"Hall C : The Op Games, Events",ICC : Hall C : The OP Games,/map?c=27&f=1&lg=70.44143554687501&lt=-23.40897560612799&s=18564&z=5,Events,27
18565,"Hall B : Soul Master, Events",ICC : Hall B : Soul Master,/map?c=27&f=1&lg=73.03420898437501&lt=-17.503843732733298&s=18565&z=6,Events,27
18566,"Hall C : Wonderful World, Events",ICC : Hall C : Wonderful World,/map?c=27&f=1&lg=73.03420898437501&lt=-18.56936281360825&s=18566&z=6,Events,27
